code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
A70,infection,A.7,Tuberculosis,结核病,Tuberculosis,结核病,late effect of tuberculosis; tuberculosis infection of any body site,晚期结核病后遗症；任何身体部位的结核感染,,,conversion to a positive tuberculin skin test; or demonstration of Mycobacterium tuberculosis on microscopy or culture; or characteristic chest X-ray appearance; or characteristic histological appearance on biopsy,结核菌素皮肤试验转为阳性；或在显微镜检查或培养中发现结核分枝杆菌；或胸部X线影像特征性表现；或活检组织学检查特征性表现,fever ,发热,,,A15.0; A15.1; A15.2; A15.3; A15.4; A15.5; A15.6; A15.7; A15.8; A15.9; A16.0; A16.1; A16.2; A16.3; A16.4; A16.5; A16.7; A16.8; A16.9; A17.0; A17.1; A17.8; A17.9; A18.0; A18.1; A18.2; A18.3; A18.4; A18.5; A18.6; A18.7; A18.8; A19.0; A19.1; A19.2; A19.8; A19.9; B90.0; B90.1; B90.2; B90.8; B90.9; N74.0; N74.1
A71,infection,A.7,Measles,麻疹,Measles,麻疹,complications of measles,麻疹并发症,,,"prodrome with injected conjunctivae, fever, and cough; plus white specks on a red base in the mucous membranes of the cheek (Koplik's spots), or confluent maculopapular eruption spreading over the face and body, or an atypical exanthem in a partially immune person during an epidemic of measles; or serological evidence of acute measles",前驱期伴有结膜充血、发热和咳嗽；加上颊黏膜上的红斑基础上出现白色小点（科普利克斑），或面部及躯干上扩散的融合性斑丘疹，或在麻疹流行期间部分免疫的人群中出现非典型皮疹；或急性麻疹的血清学证据,fever ,发热,,,B05.0; B05.1; B05.2; B05.3; B05.4; B05.8; B05.9
A72,infection,A.7,Chickenpox,水痘,Chickenpox,水痘,complications of chickenpox,带状疱疹并发症,herpes zoster ,带状疱疹,"a vesicular exanthem which appears in successive crops, with the lesions evolving rapidly from superficial papules to vesicles and eventually to scabs",成批出现的疱疹性皮疹，病灶迅速从表浅丘疹发展为水疱，最终形成结痂,fever ,发热,,,B01.0; B01.1; B01.2; B01.8; B01.9
A73,infection,A.7,Malaria,疟疾,Malaria,疟疾,complications of malaria,疟疾并发症,,,intermittent fever with chills and rigors in resident of/recent  visitor to a malarial region; or demonstration of malarial parasite forms in the peripheral blood,间歇性发热伴寒战和 rigor，居住于或近期到访过疟疾流行区域；或外周血中发现疟原虫形式,fever ,发热,,,B50.0; B50.8; B50.9; B51.0; B51.8; B51.9; B52.0; B52.8; B52.9; B53.0; B53.1; B53.8; B54
A74,infection,A.7,Rubella,风疹,Rubella,风疹,complications of rubella,风疹并发症,roseola infantum ,婴儿玫瑰疹,"an acute exanthem with enlarged lymph nodes, most often suboccipital and post-auricular, with a macular rash on the face, spreading to the trunk and proximal portions of the limbs; or serological evidence of rubella infection",急性皮疹伴淋巴结肿大，最常出现在后枕部和耳后，面部出现斑丘疹，蔓延至躯干及四肢近端；或有风疹感染的血清学证据,fever ,发热,,,B06.0; B06.8; B06.9
A75,infection,A.7,Infectious mononucleosis,传染性单核细胞增多症,Infectious mononucleosis,传染性单核细胞增多症,glandular fever; M. Pfeiffer,传染性单核细胞增多症; Pfeiffer菌,,,"inflammation of the tonsils/pharynx with lymphadenopathy not confined to the anterior cervical nodes, and either atypical lymphocytes on blood smear or splenomegaly; or abnormal heterophile antibody titre or Epstein-Barr virus titre",扁桃体/咽炎伴非颈前淋巴结的淋巴腺病，以及外周血涂片中出现异型淋巴细胞或脾大；或异嗜性抗体滴度异常或Epstein-Barr病毒滴度异常,fever ,发热,,,B27.0; B27.1; B27.8; B27.9
A76,infection,A.7,Viral exanthem other,病毒性皮疹其他,Viral exanthem other,病毒性皮疹其他,cowpox; erythema infectiosum; fever with rash; fifth disease; hand foot and mouth disease; roseola infantum,水牛痘；传染性红斑；发热伴皮疹；第五病；手足口病；婴儿玫瑰疹,measles ,麻疹,,,,,,,A88.0; B03; B04; B08.0; B08.2; B08.3; B08.4; B08.8; B09
A77,infection,A.7,Viral disease other/NOS,其他病毒性疾病/NOS,Viral disease other/NOS,其他病毒性疾病/NOS,adenovirus; Coxsackie diseases; dengue fever; Ross River fever,腺病毒；柯萨奇病；登革热；罗斯河热,other viral exanthem ,其他病毒性皮疹,,,,,,,A82.0; A82.1; A82.9; A92.0; A92.1; A92.2; A92.3; A92.4; A92.8; A92.9; A93.0; A93.1; A93.2; A93.8; A94; A95.0; A95.1; A95.9; A96.0; A96.1; A96.2; A96.8; A96.9; A97.0; A97.1; A97.2; A97.9; A98.0; A98.1; A98.2; A98.3; A98.4; A98.5; A98.8; A99; B00.7; B25.0; B25.1; B25.2; B25.8; B25.9; B33.0; B33.1; B33.3; B33.8; B34.0; B34.1; B34.2; B34.3; B34.4; B34.8; B34.9; B97.0; B97.1; B97.2; B97.3; B97.4; B97.5; B97.6; B97.7; B97.8
A78,infection,A.7,Infectious disease other/NOS,其他感染性疾病/未特指,Infectious disease other/NOS,其他感染性疾病/未特指,brucellosis; infection unspecified site; Lyme disease; mycoplasma; Q fever; rickettsial disease; scarlet fever; sexually transmitted disease NOS; thrush NOS; toxoplasmosis,布鲁氏菌病；未特指部位的感染；莱姆病；支原体；Q热；立克次体病；猩红热；未特指的性传播疾病NOS；未特指的鹅口疮NOS；弓形虫病,meningococcal meningitis ,流行性脑脊髓膜炎,,,,,,,A20.0; A20.1; A20.2; A20.3; A20.7; A20.8; A20.9; A21.0; A21.1; A21.2; A21.3; A21.7; A21.8; A21.9; A22.0; A22.1; A22.2; A22.7; A22.8; A22.9; A23.0; A23.1; A23.2; A23.3; A23.8; A23.9; A24.0; A24.1; A24.2; A24.3; A24.4; A25.0; A25.1; A25.9; A26.0; A26.7; A26.8; A26.9; A27.0; A27.8; A27.9; A28.0; A28.1; A28.2; A28.8; A28.9; A30.0; A30.1; A30.2; A30.3; A30.4; A30.5; A30.8; A30.9; A31.0; A31.1; A31.8; A31.9; A32.0; A32.7; A32.8; A32.9; A38; A39.1; A39.2; A39.3; A39.4; A39.8; A39.9; A40.0; A40.1; A40.2; A40.3; A40.8; A40.9; A41.0; A41.1; A41.2; A41.3; A41.4; A41.5; A41.8; A41.9; A42.0; A42.1; A42.2; A42.7; A42.8; A42.9; A43.0; A43.1; A43.8; A43.9; A44.0; A44.1; A44.8; A44.9; A48.0; A48.2; A48.3; A48.4; A48.8; A49.0; A49.1; A49.2; A49.3; A49.8; A49.9; A59.8; A59.9; A64; A68.0; A68.1; A68.9; A69.2; A69.8; A69.9; A70; A74.8; A74.9; A75.0; A75.1; A75.2; A75.3; A75.9; A77.0; A77.1; A77.2; A77.3; A77.8; A77.9; A78; A79.0; A79.1; A79.8; A79.9; B37.7; B37.8; B37.9; B38.0; B38.1; B38.2; B38.3; B38.4; B38.7; B38.8; B38.9; B39.0; B39.1; B39.2; B39.3; B39.4; B39.5; B39.9; B40.0; B40.1; B40.2; B40.3; B40.7; B40.8; B40.9; B41.0; B41.7; B41.8; B41.9; B42.0; B42.1; B42.7; B42.8; B42.9; B43.0; B43.1; B43.2; B43.8; B43.9; B45.0; B45.1; B45.2; B45.3; B45.7; B45.8; B45.9; B46.0; B46.1; B46.2; B46.3; B46.4; B46.5; B46.8; B46.9; B47.0; B47.1; B47.9; B48.0; B48.1; B48.2; B48.3; B48.4; B48.7; B48.8; B49; B55.0; B55.1; B55.2; B55.9; B56.0; B56.1; B56.9; B57.0; B57.1; B57.2; B57.3; B57.4; B57.5; B58.8; B58.9; B59; B60.0; B60.1; B60.2; B60.8; B64; B89; B92; B94.8; B94.9; B95.0; B95.1; B95.2; B95.3; B95.4; B95.5; B95.6; B95.7; B95.8; B96.0; B96.1; B96.2; B96.3; B96.4; B96.5; B96.6; B96.7; B96.8; B98.1; B99; R57.2; R65.0; R65.1; R65.2; R65.3; R65.9
A79,neoplasm,A.7,Malignancy NOS,恶性肿瘤 NOS,Malignancy NOS,恶性肿瘤 NOS,carcinomatosis (unknown primary); secondary/metastatic neoplasm when primary site is unknown,癌性腹膜炎（未知原发灶）；继发/转移性肿瘤当原发部位不明时,,,histological evidence of malignancy,恶性肿瘤的组织学证据,disease/condition of unspecified nature/site ,性质未特指的疾病/状态,,,C38.8; C45.9; C46.7; C46.8; C46.9; C76.0; C76.1; C76.2; C76.3; C76.4; C76.5; C76.7; C76.8; C78.0; C78.1; C78.2; C78.3; C78.4; C78.5; C78.6; C78.7; C78.8; C79.0; C79.1; C79.2; C79.3; C79.4; C79.5; C79.6; C79.7; C79.8; C80.0; C80.9; C97; D09.7; D09.9
A80,injury,A.7,Trauma/injury NOS,创伤/损伤 NOS,Trauma/injury NOS,创伤/损伤 NOS,road traffic accident,道路交通事故,multiple trauma ,多发伤,,,,,,,S11.0; S11.1; S11.2; S11.7; S11.8; S11.9; S15.0; S15.1; S15.2; S15.3; S15.7; S15.8; S15.9; S21.0; S21.1; S21.2; S21.7; S21.8; S21.9; S25.0; S25.1; S25.2; S25.3; S25.4; S25.5; S25.7; S25.8; S25.9; S26.0; S26.8; S26.9; S27.8; S27.9; S35.0; S35.1; S35.2; S35.3; S35.4; S35.5; S35.7; S35.8; S35.9; S37.9; S38.1; S38.3; S39.0; S39.6; S39.7; S39.8; S39.9; S45.0; S45.1; S45.2; S45.3; S45.7; S45.8; S45.9; S55.0; S55.1; S55.2; S55.7; S55.8; S55.9; S65.0; S65.1; S65.2; S65.3; S65.4; S65.5; S65.7; S65.8; S65.9; S75.0; S75.1; S75.2; S75.7; S75.8; S75.9; S85.0; S85.1; S85.2; S85.3; S85.4; S85.5; S85.7; S85.8; S85.9; S95.0; S95.1; S95.2; S95.7; S95.8; S95.9; T14.5; T14.7; T14.8; T14.9; T28.4; T28.9
A81,injury,A.7,Multiple trauma/injuries,多处创伤/损伤,Multiple trauma/injuries,多处创伤/损伤,multiple internal injuries NOS,多处内伤 NOS,,,,,,,In this classification 'general' or 'multiple' refers to three or more body sites or systems. Conditions affecting one or two sites should be coded to these sites.,在此分类中，“一般”或“多处”指的是三个或更多的身体部位或系统。影响一个或两个部位的情况应按这些具体部位编码。,S17.0; S17.8; S17.9; S18; S19.7; S19.8; S19.9; S28.0; S28.1; S29.0; S29.7; S29.8; S29.9; S31.7; S36.7; S36.8; S37.7; S37.8; S39.0; S39.6; S39.7; S39.8; S39.9; T00.0; T00.1; T00.2; T00.3; T00.6; T00.8; T00.9; T01.0; T01.1; T01.2; T01.3; T01.6; T01.8; T01.9; T02.0; T02.1; T02.2; T02.3; T02.4; T02.5; T02.6; T02.7; T02.8; T02.9; T03.0; T03.1; T03.2; T03.3; T03.4; T03.8; T03.9; T04.0; T04.1; T04.2; T04.3; T04.4; T04.7; T04.8; T04.9; T05.0; T05.1; T05.2; T05.3; T05.4; T05.5; T05.6; T05.8; T05.9; T06.5; T06.8; T07; T29.0; T29.1; T29.2; T29.3; T29.4; T29.5; T29.6; T29.7
A82,injury,A.7,Secondary effect of trauma,创伤的继发效应,Secondary effect of trauma,创伤的继发效应,deformity/scarring resulting from previous injury; old amputation,畸形/瘢痕，由先前损伤引起；旧截肢,psychological effects of trauma/acute stress reaction ,创伤的心理效应/急性应激反应,,,,,,,T79.0; T79.1; T79.2; T79.4; T79.5; T79.7; T79.8; T79.9; T90.0; T90.1; T90.2; T90.3; T90.4; T90.5; T90.8; T90.9; T91.0; T91.1; T91.2; T91.3; T91.4; T91.5; T91.8; T91.9; T92.0; T92.1; T92.2; T92.3; T92.4; T92.5; T92.6; T92.8; T92.9; T93.0; T93.1; T93.2; T93.3; T93.4; T93.5; T93.6; T93.8; T93.9; T94.0; T94.1; T95.0; T95.1; T95.2; T95.3; T95.4; T95.8; T95.9; T96; T97; T98.0; T98.1; T98.2; T98.3
A84,injury,A.7,Poisoning by medical agent,医疗剂中毒,Poisoning by medical agent,医疗剂中毒,toxic effect of overdose medical agent,药物过量的毒性作用,medication abuse ,药物滥用,toxicity/impairment produced by accidental/deliberate overdose of an agent which has remedial properties in its usual dosage,中毒/损害由意外/故意过量使用通常剂量具有治疗作用的药物引起,,,,,T36.0; T36.1; T36.2; T36.3; T36.4; T36.5; T36.6; T36.7; T36.8; T36.9; T37.0; T37.1; T37.2; T37.3; T37.4; T37.5; T37.8; T37.9; T38.0; T38.1; T38.2; T38.3; T38.4; T38.5; T38.6; T38.7; T38.8; T38.9; T39.0; T39.1; T39.2; T39.3; T39.4; T39.8; T39.9; T40.0; T40.1; T40.2; T40.3; T40.4; T40.5; T40.6; T40.7; T40.8; T40.9; T41.0; T41.1; T41.2; T41.3; T41.4; T41.5; T42.0; T42.1; T42.2; T42.3; T42.4; T42.5; T42.6; T42.7; T42.8; T43.0; T43.1; T43.2; T43.3; T43.4; T43.5; T43.6; T43.8; T43.9; T44.0; T44.1; T44.2; T44.3; T44.4; T44.5; T44.6; T44.7; T44.8; T44.9; T45.0; T45.1; T45.2; T45.3; T45.4; T45.5; T45.6; T45.7; T45.8; T45.9; T46.0; T46.1; T46.2; T46.3; T46.4; T46.5; T46.6; T46.7; T46.8; T46.9; T47.0; T47.1; T47.2; T47.3; T47.4; T47.5; T47.6; T47.7; T47.8; T47.9; T48.0; T48.1; T48.2; T48.3; T48.4; T48.5; T48.6; T48.7; T49.0; T49.1; T49.2; T49.3; T49.4; T49.5; T49.6; T49.7; T49.8; T49.9; T50.8; T50.9
A85,injury,A.7,Adverse effect medical agent,药物不良反应,Adverse effect medical agent,药物不良反应,side effect/allergy/anaphylaxis due to medication in proper dose,药物正常剂量下的副作用/过敏/过敏性休克,poisoning by medical agent ,医疗剂中毒,"symptom/complaint attributed to the proper use of medication, rather than due to disease or injury",药物正确使用引起的症状/主诉，而非由疾病或损伤引起,,,May also code the nature of the adverse effect,"may also code the nature of the adverse effect

不良反应的性质也可编码",D61.1; D64.2; G44.4; I95.2; J70.2; J70.3; J70.4; L27.0; L27.1; P93; R50.2; T88.6; T88.7
